Word,WordFreq_count,Wordfreq_localrank,Wordfreq_globalrank,Concreteness,ECoG_memobserved_weigthed,ECoG_memobserved_unweighted,AMT_memobserved,Model_presented_cue,Model_all_cue,ModelListMem
    {'PEN'   },9034,130,3609,4.92,0.2069,0.3333,0.5743,0.0002042,0.0033128,0.0041
    {'PET'   },10179,147,3299,4.71,0.2069,0.3333,0.5412,0.0002858,0.0037709,0.0052
    {'PHONE' },78367,283,557,4.86,0.1724,0.2778,0.5102,0.0002532,0.0031392,0.0036
    {'PIE'   },10130,143,3345,4.92,0.1379,0.2222,0.5,0.0002816,0.0038724,0.0045
    {'PIG'   },8930,137,3511,5,0.3448,0.4545,0.5841,0.0004645,0.0044664,0.0055
    {'PIN'   },6494,95,4386,4.92,0.1379,0.2353,0.6374,0.0002377,0.0037066,0.0045
    {'PIPE'  },11405,158,2999,4.88,0.2069,0.3333,0.5897,0.0003307,0.0043497,0.0055
    {'PIT'   },7768,121,3887,4.68,0.1724,0.2941,0.6417,0.0002709,0.0038279,0.0049
    {'PLANE' },36214,251,1151,4.92,0.1379,0.2857,0.5534,0.0001138,0.0032167,0.0041
    {'PLANT' },67679,278,623,4.76,0.1724,0.2381,0.6216,0.0002107,0.0036115,0.0041
    {'PLATE' },26946,224,1530,4.77,0.2069,0.375,0.8548,0.000278,0.0042701,0.0055
    {'POLE'  },12173,164,2806,4.66,0.1034,0.1667,0.54,0.0002008,0.0030957,0.0038
    {'POND'  },8493,128,3653,4.9,0.3103,0.4737,0.6408,0.0004254,0.0047229,0.006
    {'POOL'  },25237,220,1570,4.77,0.2759,0.4444,0.679,0.0002768,0.0037957,0.0048
    {'PRINCE'},12462,67,5522,4.44,0.2414,0.3889,0.5802,0.0001339,0.0021953,0.0024
    {'PURSE' },6774,94,4397,4.9,0.1724,0.3125,0.5714,0.0001989,0.0028352,0.0036
    {'RAIN'  },25903,222,1555,4.97,0.2069,0.3333,0.6429,0.00029,0.0035126,0.0042
    {'RAKE'  },2010,23,9041,4.84,0.1379,0.2857,0.5254,0.0000903,0.002094,0.0021
    {'RAT'   },8848,132,3584,4.85,0.2759,0.4706,0.5593,0.0002592,0.0043053,0.0049
    {'RIB'   },6349,85,4611,4.9,0.3103,0.5294,0.4868,0.0001764,0.0028122,0.0031
    {'RICE'  },19581,167,2757,4.86,0.2759,0.4444,0.6019,0.0002056,0.002842,0.0037
    {'ROAD'  },87528,287,489,4.75,0.1724,0.2941,0.6962,0.0001756,0.0034431,0.004
    {'ROCK'  },52101,266,870,4.91,0.1724,0.3125,0.5439,0.0002786,0.0041397,0.0051
    {'ROOF'  },17827,188,2148,4.79,0.1724,0.2941,0.6667,0.0003767,0.004978,0.0058
    {'ROOM'  },185952,297,227,4.79,0.2759,0.4,0.6346,0.0003958,0.0050709,0.0065
    {'ROOT'  },22449,211,1743,4.34,0.1724,0.2941,0.619,0.0002522,0.0031345,0.0037
    {'ROPE'  },10098,145,3330,4.93,0.1724,0.4167,0.4848,0.0002259,0.004441,0.0054
    {'ROSE'  },21402,141,3390,4.9,0.2759,0.4444,0.5565,0.0001256,0.0019871,0.0026
    {'RUG'   },5236,73,5148,4.79,0.2759,0.4211,0.4051,0.0002417,0.0029743,0.0036
    {'SAIL'  },7096,112,4157,4.59,0.2414,0.3333,0.4268,0.0002876,0.0026949,0.0034
    {'SALT'  },32585,219,1576,4.89,0.2759,0.4,0.6667,0.0003102,0.0036044,0.004
    {'SCHOOL'},331597,299,125,4.79,0.3103,0.5,0.7449,0.0002816,0.002475,0.0034
    {'SEA'   },43531,260,990,4.79,0.2759,0.4444,0.6465,0.000344,0.0043269,0.0055
    {'SEAL'  },7321,117,4053,4.63,0.1724,0.3125,0.5833,0.0002042,0.0037172,0.0048
    {'SEAT'  },48350,265,895,4.78,0.2759,0.5,0.5966,0.0001066,0.0028615,0.0032
    {'SEED'  },20690,198,1929,4.71,0.1034,0.1667,0.4713,0.0001869,0.0022885,0.0026
    {'SHARK' },6647,89,4478,4.93,0.2414,0.4118,0.6702,0.0003373,0.0040084,0.0046
    {'SHEEP' },6729,106,4243,4.9,0.1379,0.2353,0.433,0.0001515,0.0034478,0.0041
    {'SHEET' },22907,209,1762,4.93,0.2414,0.3333,0.5505,0.0002444,0.003828,0.0048
    {'SHELL' },14156,173,2576,4.8,0.1379,0.2353,0.4857,0.0002771,0.0036148,0.0045
    {'SHIELD'},5110,63,5673,4.66,0.1724,0.3125,0.4583,0.0001701,0.0028788,0.0037
    {'SHIP'  },36015,247,1221,4.87,0.1379,0.2,0.6058,0.0001985,0.003465,0.0038
    {'SHIRT' },23556,208,1781,4.94,0.2414,0.4375,0.6701,0.0002598,0.004024,0.0047
    {'SHOE'  },29485,229,1427,4.97,0.3103,0.5625,0.6154,0.0002357,0.003775,0.0046
    {'SHRIMP'},7732,108,4177,4.8,0.1724,0.2632,0.5816,0.0003401,0.0034862,0.0038
    {'SIGN'  },54280,271,759,4.62,0.2069,0.3158,0.5825,0.0001275,0.0027336,0.0038
    {'SINK'  },12528,163,2826,4.74,0.2759,0.5,0.5319,0.0002424,0.0035378,0.004
    {'SKI'   },13572,154,3051,4.63,0.1724,0.2778,0.4177,0.0002455,0.0027608,0.0037
    {'SKUNK' },802,5,15107,4.88,0.3103,0.45,0.4731,0.0000549,0.0016342,0.0016
    {'SKY'   },37857,252,1148,4.45,0.3103,0.5294,0.6484,0.0002065,0.0039117,0.0042
    {'SLEEVE'},6351,86,4610,4.84,0.2069,0.3529,0.6458,0.0001571,0.002852,0.0034
    {'SLIME' },695,3,16389,4.48,0.1724,0.2632,0.5301,0.0001867,0.0021611,0.0024
    {'SLUSH' },485,1,19291,4.04,0.069,0.1333,0.7241,0.0000154,0.0008337,0.0008
    {'SMILE' },44555,256,1069,4.5,0.2414,0.3333,0.55,0.0002419,0.0031168,0.0039
    {'SMOKE' },15461,181,2430,4.96,0.3448,0.6667,0.5648,0.0001993,0.0039608,0.0049
    {'SNAIL' },1602,14,10425,4.93,0.2414,0.4118,0.7059,0.0001761,0.002508,0.0029
    {'SNAKE' },9553,138,3504,5,0.3448,0.7143,0.8152,0.0003861,0.0052308,0.0062
    {'SNOW'  },28101,206,1791,4.85,0.3793,0.55,0.625,0.0003351,0.0041732,0.0052
    {'SOAP'  },6456,96,4382,4.93,0.2069,0.3529,0.6386,0.0001838,0.0025844,0.0031
    {'SOCK'  },6698,100,4314,4.91,0.2069,0.4286,0.4776,0.0001374,0.0029088,0.0026
    {'SOUP'  },11658,155,3016,4.72,0.1724,0.3333,0.4906,0.0003026,0.0039544,0.0048
    {'SPARK' },5647,77,4851,4.25,0.2069,0.2857,0.4239,0.0000845,0.0011129,0.0013
    {'SPEAR' },3710,31,8463,5,0.2414,0.3889,0.4261,0.0001989,0.0029932,0.0035
    {'SPONGE'},1906,19,9489,5,0.1379,0.25,0.4896,0.000213,0.0034571,0.0033
    {'SPOON' },6960,97,4377,4.96,0.2759,0.4444,0.8438,0.0004298,0.0040801,0.0044
    {'SPRING'},48861,264,902,3.89,0.2069,0.375,0.4458,0.0002658,0.0042617,0.0058
    {'SQUARE'},12950,166,2764,4.33,0.2759,0.4706,0.6186,0.0002239,0.0034236,0.0042
    {'STAIR' },13029,162,2880,4.93,0.2414,0.35,0.7067,0.000014,0.0011478,0.0017
    {'STAR'  },80007,285,538,4.69,0.2414,0.3684,0.6118,0.0001883,0.003033,0.0033
    {'STEAK' },6334,84,4678,4.96,0.1379,0.2105,0.5229,0.0002438,0.0028698,0.0036
    {'STEAM' },6994,110,4172,4.5,0.1034,0.2143,0.3372,0.0001248,0.0028789,0.0034
    {'STEM'  },9729,139,3437,4.63,0.3448,0.5263,0.5319,0.0001128,0.0025455,0.0028
    {'STICK' },35036,249,1211,4.59,0.2759,0.4211,0.6506,0.0003462,0.0051348,0.0064
    {'STONE' },39479,246,1222,4.72,0.1724,0.2778,0.5204,0.0002463,0.0046256,0.0056
    {'STOOL' },3991,55,6068,4.9,0.1724,0.3846,0.6476,0.0001853,0.00319,0.0041
    {'STORE' },60893,273,700,4.5,0.1724,0.3125,0.4554,0.0001916,0.0039734,0.0049
    {'STORM' },24770,216,1662,4.7,0.2069,0.3158,0.3214,0.0002508,0.0025246,0.0033
    {'STOVE' },6525,92,4427,4.96,0.1724,0.2632,0.6714,0.0002597,0.0031584,0.0036
    {'STRAW' },5771,80,4774,4.77,0.1379,0.2857,0.5,0.0001659,0.0030548,0.0035
    {'STREET'},114259,284,554,4.75,0.3448,0.5263,0.598,0.0001116,0.0032576,0.0039
    {'STRING'},12918,170,2687,4.76,0.2069,0.3158,0.5093,0.0002728,0.002686,0.0033
